"target_id","contract_version","source_family","protected_status","parity_lane","statistic","source_artifact","source_script","expected_value","tolerance_abs","tolerance_rel","promotion_role","current_status","notes"
"vam_n_schools","companion-parity-v1","vam","deferred","lane_b_candidate","Number of schools","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","50","0","0","required","deferred","Exact count from companion simulation key statistics."
"vam_n_charter","companion-parity-v1","vam","deferred","lane_b_candidate","Number of charter schools","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","7","0","0","required","deferred","Exact realized charter count."
"vam_n_noncharter","companion-parity-v1","vam","deferred","lane_b_candidate","Number of non-charter schools","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","43","0","0","required","deferred","Exact realized non-charter count."
"vam_uncond_mu_hat","companion-parity-v1","vam","deferred","lane_b_candidate","Unconditional prior mean","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.01899393","1e-7","NA","required","deferred","Global prior mean from companion simulation."
"vam_uncond_sigma_sq","companion-parity-v1","vam","deferred","lane_b_candidate","Unconditional prior variance","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.04711244","1e-7","NA","required","deferred","Bias-corrected deconvolved prior variance."
"vam_uncond_sigma","companion-parity-v1","vam","deferred","lane_b_candidate","Unconditional prior standard deviation","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.21705399","1e-7","NA","required","deferred","Square root of unconditional prior variance."
"vam_uncond_mean_lambda","companion-parity-v1","vam","deferred","lane_b_candidate","Mean unconditional reliability","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.60711819","1e-7","NA","required","deferred","Mean linear shrinkage weight."
"vam_uncond_sd_theta_hat","companion-parity-v1","vam","deferred","lane_b_candidate","SD of raw school estimates","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.30133915","1e-7","NA","required","deferred","Raw school estimate dispersion."
"vam_uncond_sd_posterior","companion-parity-v1","vam","deferred","lane_b_candidate","SD of unconditional posterior means","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.16634610","1e-7","NA","required","deferred","Unconditional posterior dispersion."
"vam_uncond_variance_ordering","companion-parity-v1","vam","deferred","lane_b_candidate","SD ordering check","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","TRUE","0","0","required","deferred","Requires sd(theta_hat) > sigma > sd(theta_star)."
"vam_cond_intercept_noncharter","companion-parity-v1","vam","deferred","lane_b_candidate","Conditional non-charter intercept","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.01068436","1e-7","NA","required","deferred","Non-charter prior mean."
"vam_cond_charter_effect","companion-parity-v1","vam","deferred","lane_b_candidate","Conditional charter coefficient","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.05935403","1e-7","NA","required","deferred","Charter coefficient in conditional EB."
"vam_cond_charter_se","companion-parity-v1","vam","deferred","lane_b_candidate","Conditional charter standard error","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.12379333","1e-7","NA","required","deferred","Standard error for charter coefficient."
"vam_cond_charter_t","companion-parity-v1","vam","deferred","lane_b_candidate","Conditional charter t-statistic","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.479460646224","1e-8","NA","required","deferred","Derived as charter_effect / charter_se unless source exports directly."
"vam_cond_sigma_sq","companion-parity-v1","vam","deferred","lane_b_candidate","Conditional residual prior variance","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.04668828","1e-7","NA","required","deferred","Residual prior variance after conditioning on charter."
"vam_cond_sigma","companion-parity-v1","vam","deferred","lane_b_candidate","Conditional residual prior standard deviation","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.21607471","1e-7","NA","required","deferred","Square root of conditional residual prior variance."
"vam_cond_mean_lambda","companion-parity-v1","vam","deferred","lane_b_candidate","Mean conditional reliability","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.60528685","1e-7","NA","required","deferred","Mean conditional linear shrinkage weight."
"vam_cond_sd_posterior","companion-parity-v1","vam","deferred","lane_b_candidate","SD of conditional posterior means","figures/05-03/vam_key_statistics.csv","scripts/step5_3_run_vam.do","0.16661468","1e-7","NA","required","deferred","Conditional posterior dispersion."
"vam_truth_shrinkage","companion-parity-v1","vam","deferred","lane_b_simulation_only","Simulation truth-shrinkage diagnostic","vam_simulated package data","not_applicable","NA","NA","NA","diagnostic","blocked_from_protected","Requires latent simulated truth and cannot become a restricted Boston observed-data parity target."
